Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
USA,Soybeans,1991,23222,715,148.11,8.5
Japan,Sweet potatoes,2013,176991,1668,80.7,12.0
Pakistan,Sorghum,2012,13606,494,81.16,19.0
Bangladesh,Soybeans,2008,37903,2666,95.88,25.5
United Kingdom,Potatoes,2006,180696,1220,102.17,9.5
Spain,Soybeans,1997,31228,636,127.95,14.0
China,Soybeans,1998,26512,645,133.01,8.5
Indonesia,Cassava,2003,133371,2702,116.99,26.5
USA,Sorghum,1992,14472,715,136.92,8.5
Canada,Rice,2007,49542,537,90.69,-5.35
Japan,Maize,2013,65880,1668,88.35,12.0
Japan,Wheat,2013,44408,1668,71.5,12.0
Japan,Maize,1991,54411,1668,147.88,12.0
Brazil,Maize,2001,62471,1761,107.0,25.0
Argentina,Plantains,1997,65834,590,119.54,16.0
Japan,Plantains,1994,69409,1668,141.32,12.0
Turkey,Yams,1997,132729,574,126.98,11.1
Italy,Soybeans,1995,30229,832,133.13,13.5
China,Cassava,2006,130276,645,102.29,8.5
Pakistan,Sweet potatoes,2002,114188,494,123.59,19.0
Brazil,Maize,2004,62635,1761,104.08,25.0
Argentina,Maize,2004,64596,590,117.0,16.0
Argentina,Yams,1999,131149,590,115.79,16.0
China,Plantains,1995,66013,645,125.42,8.5
Australia,Potatoes,1992,165996,534,152.88,21.65
Spain,Sweet potatoes,2013,183198,636,87.09,14.0
Spain,Plantains,2006,72688,636,105.55,14.0
Spain,Wheat,2003,41075,636,103.34,14.0
Albania,Yams,2007,146346,1485,94.71,16.37
Australia,Sorghum,1991,18044,534,144.92,21.65
Thailand,Potatoes,2000,216642,1622,114.17,28.0
Australia,Rice,2006,56439,534,111.82,21.65
Netherlands,Soybeans,1994,29136,850,129.31,9.5
Mexico,Sweet potatoes,2002,182160,758,110.71,21.0
India,Cassava,1994,160172,1083,141.0,25.0
India,Yams,1998,145804,1083,119.34,25.0
China,Cassava,2009,135463,645,87.81,8.5
Indonesia,Maize,2012,67241,2702,88.37,26.5
Argentina,Rice,2010,54584,590,81.22,16.0
Australia,Yams,2004,140058,534,104.32,21.65
Spain,Maize,2013,58343,636,73.54,14.0
Brazil,Wheat,2010,36747,1761,88.88,25.0
Belgium,Soybeans,2004,35158,847,113.78,10.5
Australia,Cassava,1991,133237,534,152.93,21.65
Albania,Maize,2013,67654,1485,77.23,16.37
Germany,Wheat,2001,33145,700,117.05,8.5
Canada,Sweet potatoes,2012,160959,537,92.09,-5.35
Vietnam,Rice,2012,70280,1821,87.58,25.5
Mexico,Wheat,1998,40596,758,130.97,21.0
Bangladesh,Plantains,2008,75162,2666,101.02,25.5
USA,Sweet potatoes,2007,140801,715,99.03,8.5
China,Plantains,1996,76515,645,123.14,8.5
Italy,Wheat,2008,42371,832,100.27,13.5
Bangladesh,Yams,2008,147227,2666,100.11,25.5
France,Sorghum,2003,18973,867,106.22,12.5
India,Yams,2007,165823,1083,102.49,25.0
Indonesia,Soybeans,2013,39408,2702,87.33,26.5
Germany,Cassava,1995,111195,700,133.43,8.5
Japan,Potatoes,2000,213611,1668,120.52,12.0
Albania,Sorghum,2011,20051,1485,93.34,16.37
China,Cassava,2003,122444,645,106.09,8.5
Argentina,Yams,2003,128355,590,103.36,16.0
Austria,Rice,2009,50811,1110,87.33,6.35
Canada,Maize,2009,55869,537,87.98,-5.35
Canada,Cassava,2003,113883,537,113.17,-5.35
Italy,Sweet potatoes,2005,149698,832,105.19,13.5
Canada,Potatoes,1992,142602,537,134.45,-5.35
Pakistan,Wheat,1997,23511,494,124.25,19.0
Pakistan,Maize,2012,47449,494,92.06,19.0
Netherlands,Rice,2006,57030,850,95.78,9.5
Egypt,Wheat,2001,32860,51,121.3,22.5
Japan,Sorghum,2002,20040,1668,114.24,12.0
Australia,Wheat,1994,40196,534,133.47,21.65
United Kingdom,Wheat,2012,41975,1220,75.1,9.5
Brazil,Soybeans,2004,37184,1761,99.85,25.0
USA,Cassava,1994,118209,715,139.96,8.5
United Kingdom,Potatoes,2000,212077,1220,124.12,9.5
Japan,Rice,2007,53736,1668,102.28,12.0
Turkey,Rice,2008,55631,574,97.12,11.1
Brazil,Cassava,1992,122110,1761,137.19,25.0
Italy,Yams,2013,157916,832,88.34,13.5
Mexico,Potatoes,2005,230917,758,96.96,21.0
Argentina,Cassava,2007,155421,590,100.53,16.0
Albania,Potatoes,1997,179777,1485,135.57,16.37
Brazil,Potatoes,2009,244769,1761,97.54,25.0
India,Potatoes,2006,212907,1083,104.06,25.0
Australia,Soybeans,2013,34198,534,85.99,21.65
Japan,Potatoes,1995,172416,1668,139.49,12.0
Indonesia,Potatoes,1990,185466,2702,149.01,26.5
Canada,Sweet potatoes,2002,143477,537,110.87,-5.35
Australia,Sorghum,2003,19693,534,115.47,21.65
France,Rice,1995,42525,867,129.74,12.5
China,Potatoes,2012,207289,645,86.46,8.5
Austria,Cassava,1991,126327,1110,143.13,6.35
USA,Potatoes,2013,216948,715,71.47,8.5
Germany,Rice,1992,46125,700,134.12,8.5
Indonesia,Sweet potatoes,1994,143199,2702,133.65,26.5
Austria,Sorghum,2010,20611,1110,83.51,6.35
Brazil,Potatoes,2003,236510,1761,119.42,25.0
USA,Sweet potatoes,1996,135754,715,132.24,8.5
France,Soybeans,2005,29779,867,99.28,12.5
Bangladesh,Sorghum,1996,16835,2666,126.78,25.5
Turkey,Plantains,2004,74285,574,98.82,11.1
Albania,Sorghum,1998,17466,1485,123.36,16.37
Belgium,Maize,1994,52268,847,147.76,10.5
Japan,Cassava,2011,134407,1668,88.24,12.0
Brazil,Soybeans,1999,36917,1761,122.01,25.0
Albania,Sweet potatoes,1999,153854,1485,114.41,16.37
Germany,Sweet potatoes,2007,166351,700,97.51,8.5
Egypt,Yams,2006,117644,51,99.83,22.5
United Kingdom,Rice,2005,50237,1220,111.42,9.5
Belgium,Yams,2012,127277,847,83.95,10.5
Argentina,Rice,1998,48066,590,119.64,16.0
Netherlands,Maize,2005,60191,850,95.19,9.5
Netherlands,Potatoes,2013,261456,850,74.21,9.5
Albania,Cassava,2003,151830,1485,117.72,16.37
Bangladesh,Rice,2009,73516,2666,100.0,25.5
Argentina,Sweet potatoes,1992,114001,590,150.06,16.0
Pakistan,Soybeans,2012,24520,494,87.61,19.0
Egypt,Sweet potatoes,1999,146857,51,129.51,22.5
United Kingdom,Cassava,2002,146120,1220,105.94,9.5
USA,Plantains,1994,72997,715,129.52,8.5
Thailand,Cassava,2013,159052,1622,83.24,28.0
France,Maize,2011,66211,867,92.27,12.5
Egypt,Rice,1990,34105,51,146.43,22.5
Austria,Sorghum,2008,16536,1110,95.3,6.35
United Kingdom,Soybeans,2009,37373,1220,91.19,9.5
United Kingdom,Cassava,1999,115779,1220,129.9,9.5
Netherlands,Wheat,2003,37471,850,117.73,9.5
Vietnam,Wheat,1993,31719,1821,139.28,25.5
Italy,Soybeans,1991,27360,832,137.9,13.5
Netherlands,Plantains,1993,74853,850,134.84,9.5
France,Maize,1998,62760,867,127.99,12.5
Italy,Plantains,1995,60074,832,128.75,13.5
Canada,Maize,2004,53999,537,98.78,-5.35
Bangladesh,Rice,2006,59045,2666,102.87,25.5
Pakistan,Soybeans,2000,23500,494,126.03,19.0
China,Plantains,2002,87499,645,115.69,8.5
Thailand,Maize,2004,59353,1622,114.05,28.0
India,Rice,2006,61860,1083,98.42,25.0
Bangladesh,Sorghum,1991,14758,2666,141.03,25.5
Egypt,Soybeans,2005,32105,51,101.15,22.5
Thailand,Sorghum,2002,20252,1622,107.54,28.0
Spain,Sorghum,1997,16550,636,136.16,14.0
Canada,Maize,2010,48535,537,81.35,-5.35
Italy,Potatoes,1999,168099,832,125.75,13.5
United Kingdom,Sorghum,1996,18761,1220,126.85,9.5
Japan,Plantains,1998,79223,1668,131.13,12.0
United Kingdom,Yams,2000,117484,1220,128.08,9.5
Germany,Sweet potatoes,2004,180170,700,100.96,8.5
Thailand,Maize,1993,56338,1622,148.01,28.0
Spain,Sweet potatoes,1992,126240,636,142.49,14.0
Bangladesh,Yams,2000,123531,2666,123.85,25.5
Netherlands,Wheat,2007,37618,850,96.97,9.5
Austria,Rice,2005,48436,1110,108.35,6.35
Turkey,Sorghum,2000,19016,574,123.73,11.1
Albania,Rice,1992,48246,1485,134.63,16.37
Australia,Yams,2006,163204,534,111.73,21.65
France,Cassava,1992,109102,867,143.72,12.5
Pakistan,Potatoes,1993,147826,494,132.75,19.0
Germany,Potatoes,2012,208518,700,86.2,8.5
France,Sorghum,1998,16657,867,119.23,12.5
USA,Potatoes,2009,230701,715,93.02,8.5
USA,Yams,2004,128864,715,103.49,8.5
Italy,Yams,1997,110358,832,124.17,13.5
Indonesia,Potatoes,2012,248953,2702,80.48,26.5
Australia,Plantains,1994,80911,534,136.77,21.65
Indonesia,Potatoes,2002,205452,2702,104.61,26.5
Netherlands,Potatoes,2005,214873,850,110.17,9.5
India,Rice,1996,59837,1083,133.42,25.0
Italy,Soybeans,2009,33831,832,83.27,13.5
Brazil,Wheat,1992,35078,1761,148.65,25.0
Netherlands,Rice,1991,47584,850,144.28,9.5
Germany,Rice,2007,53800,700,97.48,8.5
Argentina,Soybeans,2000,27589,590,120.15,16.0
Brazil,Rice,1998,53719,1761,127.05,25.0
France,Sweet potatoes,2006,184208,867,102.89,12.5
Pakistan,Rice,2007,39169,494,93.46,19.0
Netherlands,Rice,2000,54154,850,110.79,9.5
Australia,Wheat,2012,45551,534,89.22,21.65
Spain,Maize,2006,56555,636,98.7,14.0
Belgium,Plantains,1998,81708,847,131.85,10.5
Japan,Sweet potatoes,1999,137471,1668,127.98,12.0
Pakistan,Cassava,1991,101446,494,156.65,19.0
Vietnam,Wheat,2011,48181,1821,96.15,25.5
USA,Rice,1999,49039,715,127.69,8.5
Argentina,Sorghum,2002,17691,590,119.78,16.0
Italy,Soybeans,2011,36081,832,78.44,13.5
Albania,Potatoes,2003,217106,1485,115.14,16.37
Thailand,Sorghum,2012,18754,1622,83.02,28.0
Spain,Soybeans,1998,25740,636,128.37,14.0
Australia,Rice,1992,58389,534,151.47,21.65
India,Maize,1992,60213,1083,143.21,25.0
Netherlands,Sorghum,1998,16567,850,130.09,9.5
France,Sweet potatoes,2010,169393,867,90.11,12.5
India,Cassava,1990,150787,1083,156.73,25.0
Thailand,Plantains,2010,84970,1622,86.0,28.0
France,Rice,2007,57802,867,97.4,12.5
Bangladesh,Soybeans,2007,32643,2666,98.19,25.5
Bangladesh,Yams,2011,137616,2666,94.8,25.5
Vietnam,Soybeans,1992,32375,1821,146.47,25.5
Argentina,Maize,2013,62678,590,79.3,16.0
Canada,Rice,1991,40554,537,150.94,-5.35
Thailand,Rice,1990,50076,1622,148.64,28.0
Austria,Sweet potatoes,2009,190496,1110,84.64,6.35
Belgium,Wheat,2005,35593,847,107.9,10.5
Belgium,Plantains,1991,59976,847,156.21,10.5
Bangladesh,Maize,1990,44462,2666,153.91,25.5
Albania,Yams,2013,142203,1485,90.39,16.37
Albania,Plantains,1997,77309,1485,134.02,16.37
Germany,Maize,2007,54983,700,99.94,8.5
Thailand,Sweet potatoes,2011,160982,1622,77.52,28.0
Spain,Yams,2004,114853,636,117.92,14.0
USA,Cassava,2000,151606,715,118.65,8.5
Egypt,Potatoes,1996,150870,51,124.18,22.5
Argentina,Sorghum,2003,18124,590,102.74,16.0
India,Potatoes,2003,217139,1083,111.67,25.0
Egypt,Rice,2005,47097,51,102.05,22.5
Turkey,Soybeans,1992,27456,574,144.06,11.1
Albania,Soybeans,1995,31291,1485,128.23,16.37
Canada,Rice,1999,47357,537,129.76,-5.35
Vietnam,Yams,1995,121639,1821,142.47,25.5
Austria,Cassava,2003,156372,1110,120.52,6.35
Egypt,Wheat,2002,34617,51,117.33,22.5
Argentina,Sweet potatoes,1990,126061,590,151.83,16.0
Netherlands,Cassava,1991,118047,850,139.19,9.5
Belgium,Potatoes,2010,212734,847,91.77,10.5
France,Wheat,1997,31286,867,134.2,12.5
Belgium,Cassava,2000,129442,847,110.35,10.5
India,Yams,1991,110254,1083,150.54,25.0
Austria,Sweet potatoes,1995,144526,1110,137.73,6.35
Bangladesh,Yams,1995,117458,2666,130.9,25.5
USA,Sorghum,2013,19266,715,76.3,8.5
Thailand,Potatoes,2008,207150,1622,90.29,28.0
Netherlands,Soybeans,1992,29953,850,137.25,9.5
Turkey,Cassava,1992,129814,574,137.43,11.1
Turkey,Maize,1995,52343,574,128.94,11.1
Austria,Maize,2000,60108,1110,117.88,6.35
Bangladesh,Sorghum,1990,17021,2666,141.04,25.5
Italy,Sweet potatoes,2008,144172,832,96.79,13.5
Indonesia,Wheat,2008,39276,2702,98.04,26.5
United Kingdom,Soybeans,1990,24163,1220,140.3,9.5
Bangladesh,Maize,2007,74094,2666,108.97,25.5
United Kingdom,Sweet potatoes,1991,141815,1220,154.49,9.5
Germany,Yams,1996,117267,700,136.35,8.5
Belgium,Potatoes,1991,196694,847,142.4,10.5
Belgium,Maize,1999,54842,847,113.62,10.5
Thailand,Plantains,1998,80648,1622,122.3,28.0
Australia,Soybeans,2000,30519,534,122.64,21.65
Thailand,Sweet potatoes,1996,143244,1622,138.84,28.0
India,Sweet potatoes,2002,184913,1083,115.46,25.0
Indonesia,Yams,2009,145151,2702,83.84,26.5
India,Sorghum,1996,19828,1083,126.22,25.0
Indonesia,Soybeans,1998,33645,2702,123.22,26.5
Canada,Sorghum,1998,14147,537,120.59,-5.35
Italy,Sweet potatoes,1991,146770,832,140.96,13.5
Canada,Sweet potatoes,2011,148702,537,92.08,-5.35
Brazil,Soybeans,1998,29659,1761,127.66,25.0
Argentina,Yams,2006,111099,590,96.13,16.0
Vietnam,Plantains,1997,75581,1821,128.74,25.5
Bangladesh,Plantains,1996,71696,2666,127.49,25.5
Albania,Wheat,2002,37956,1485,121.55,16.37
Brazil,Soybeans,1990,26636,1761,146.26,25.0
Germany,Sorghum,2006,16959,700,94.47,8.5
Brazil,Plantains,1990,62256,1761,155.86,25.0
Belgium,Wheat,1991,31766,847,152.64,10.5
Thailand,Cassava,1993,140290,1622,136.61,28.0
Bangladesh,Yams,2002,140700,2666,110.13,25.5
Turkey,Rice,2000,49072,574,114.61,11.1
Pakistan,Wheat,2001,25140,494,125.03,19.0
United Kingdom,Maize,2006,65065,1220,94.11,9.5
Australia,Plantains,1999,84355,534,125.46,21.65
Canada,Soybeans,1991,23265,537,139.88,-5.35
Turkey,Sorghum,2003,17397,574,105.06,11.1
USA,Potatoes,2006,207191,715,110.91,8.5
USA,Maize,1992,58634,715,141.86,8.5
Italy,Maize,2012,58288,832,81.57,13.5
Indonesia,Cassava,2012,163433,2702,89.96,26.5
Mexico,Sweet potatoes,2013,198878,758,90.18,21.0
Indonesia,Wheat,1992,29381,2702,151.59,26.5
Belgium,Sweet potatoes,1996,147479,847,138.22,10.5
China,Potatoes,1991,174169,645,152.05,8.5
Albania,Sweet potatoes,1990,137942,1485,157.11,16.37
Pakistan,Yams,2005,99008,494,107.9,19.0
USA,Sweet potatoes,2009,165259,715,95.94,8.5
Australia,Maize,2011,77363,534,94.46,21.65
Canada,Wheat,1993,24934,537,147.51,-5.35
Austria,Cassava,2007,150068,1110,90.96,6.35
Australia,Yams,2000,115176,534,115.39,21.65
Mexico,Maize,1996,57155,758,140.67,21.0
France,Cassava,2009,142742,867,96.55,12.5
Italy,Maize,2003,65480,832,106.39,13.5
Netherlands,Yams,1990,120233,850,146.51,9.5
Germany,Cassava,2005,137382,700,110.16,8.5
Albania,Yams,2004,132737,1485,100.35,16.37
Vietnam,Rice,1993,49802,1821,138.76,25.5
Brazil,Soybeans,2008,37556,1761,97.79,25.0
Spain,Cassava,2005,167119,636,108.07,14.0
Vietnam,Rice,1996,48066,1821,125.41,25.5
USA,Yams,2000,104497,715,111.23,8.5
Netherlands,Maize,1991,44851,850,147.37,9.5
Vietnam,Sweet potatoes,1999,155643,1821,131.16,25.5
Vietnam,Potatoes,2001,200877,1821,124.77,25.5
Albania,Maize,2007,68555,1485,108.31,16.37
Vietnam,Wheat,2005,42719,1821,106.57,25.5
India,Yams,2002,126726,1083,116.57,25.0
Brazil,Plantains,2012,94074,1761,81.39,25.0
Bangladesh,Sweet potatoes,1991,135182,2666,143.34,25.5
France,Sweet potatoes,1991,140673,867,140.78,12.5
Bangladesh,Wheat,2000,32944,2666,116.11,25.5
Indonesia,Sorghum,2001,16773,2702,122.53,26.5
Turkey,Wheat,2008,41862,574,96.28,11.1
Brazil,Rice,2000,53676,1761,113.15,25.0
Italy,Cassava,1999,129419,832,122.73,13.5
Canada,Plantains,1999,58719,537,123.63,-5.35
India,Maize,2012,74873,1083,75.1,25.0
Vietnam,Sorghum,1991,18206,1821,151.14,25.5
Mexico,Rice,1995,48639,758,128.94,21.0
Australia,Yams,1990,116185,534,143.4,21.65
Turkey,Soybeans,1997,30084,574,137.66,11.1
Mexico,Wheat,1994,34673,758,141.21,21.0
Australia,Rice,1997,50326,534,124.93,21.65
Germany,Yams,2001,121611,700,124.26,8.5
Japan,Potatoes,2009,212466,1668,102.01,12.0
Mexico,Wheat,2002,36641,758,120.85,21.0
Netherlands,Rice,1995,45437,850,141.66,9.5
Germany,Plantains,1992,62442,700,152.76,8.5
Indonesia,Plantains,1995,73189,2702,141.35,26.5
Thailand,Yams,2004,120552,1622,112.06,28.0
Bangladesh,Sorghum,2005,20888,2666,100.74,25.5
Indonesia,Cassava,2010,183645,2702,86.99,26.5
United Kingdom,Yams,1992,101385,1220,151.87,9.5
Albania,Maize,2004,52268,1485,109.85,16.37
Netherlands,Wheat,2012,42038,850,82.07,9.5
Spain,Yams,2001,138852,636,111.66,14.0
Egypt,Soybeans,2007,24775,51,89.11,22.5
France,Sweet potatoes,2009,186089,867,91.81,12.5
Indonesia,Sweet potatoes,1992,150650,2702,142.51,26.5
Brazil,Wheat,1994,38532,1761,147.03,25.0
Indonesia,Soybeans,1993,26513,2702,140.25,26.5
Canada,Sweet potatoes,2006,140933,537,95.26,-5.35
Italy,Plantains,2012,77259,832,76.71,13.5
Albania,Rice,2007,51766,1485,97.35,16.37
Mexico,Potatoes,2009,234983,758,97.79,21.0
Thailand,Wheat,1999,36665,1622,117.03,28.0
Egypt,Sorghum,2012,18077,51,81.5,22.5
Germany,Maize,2000,53859,700,115.68,8.5
Egypt,Maize,1999,53058,51,124.88,22.5
India,Plantains,1999,74133,1083,131.3,25.0
China,Sorghum,2006,20807,645,109.72,8.5
Belgium,Sorghum,1990,14944,847,141.77,10.5
United Kingdom,Cassava,1991,106609,1220,151.34,9.5
Canada,Plantains,2012,84076,537,76.37,-5.35
Spain,Yams,2011,150873,636,82.78,14.0
China,Rice,1993,45516,645,132.68,8.5
Spain,Maize,2005,59320,636,112.47,14.0
Albania,Sorghum,2006,17967,1485,105.82,16.37
Italy,Plantains,2008,75371,832,97.87,13.5
United Kingdom,Sorghum,2001,18842,1220,119.68,9.5
Brazil,Rice,2001,64093,1761,112.8,25.0
Italy,Maize,2009,57768,832,102.29,13.5
Belgium,Plantains,2005,86113,847,106.3,10.5
Mexico,Soybeans,1993,29097,758,143.31,21.0
Netherlands,Rice,2012,57987,850,92.88,9.5
USA,Wheat,2008,37649,715,86.19,8.5
Egypt,Maize,2007,56293,51,101.14,22.5
Turkey,Sweet potatoes,2005,162987,574,101.02,11.1
Austria,Potatoes,2009,205820,1110,88.7,6.35
Brazil,Yams,1996,135403,1761,137.64,25.0
Argentina,Sweet potatoes,2002,160925,590,104.26,16.0
Italy,Wheat,2004,31956,832,112.4,13.5
Germany,Sweet potatoes,2006,174211,700,96.07,8.5
Argentina,Wheat,2003,36318,590,108.68,16.0
United Kingdom,Yams,2005,118204,1220,106.66,9.5
Turkey,Plantains,2012,76901,574,74.61,11.1
France,Plantains,2011,73652,867,80.8,12.5
India,Wheat,1997,32136,1083,122.27,25.0
Mexico,Maize,1991,54613,758,153.55,21.0
Canada,Cassava,1998,112121,537,127.02,-5.35
Brazil,Sweet potatoes,2002,165143,1761,112.32,25.0
Japan,Cassava,2001,140715,1668,113.68,12.0
Australia,Rice,2000,59992,534,117.69,21.65
Mexico,Sweet potatoes,2012,173152,758,74.18,21.0
Austria,Potatoes,2001,211009,1110,123.26,6.35
Netherlands,Maize,1996,54649,850,127.34,9.5
Australia,Rice,1996,50511,534,129.09,21.65
Brazil,Maize,1998,57580,1761,126.78,25.0
Austria,Plantains,1993,70001,1110,150.6,6.35
Japan,Maize,1997,56076,1668,127.01,12.0
United Kingdom,Wheat,2009,39183,1220,97.41,9.5
Thailand,Wheat,2007,47209,1622,99.13,28.0
Albania,Sweet potatoes,2003,157475,1485,110.17,16.37
Canada,Sorghum,2007,13901,537,102.48,-5.35
USA,Rice,1991,40570,715,153.93,8.5
India,Sweet potatoes,2011,195285,1083,96.25,25.0
Japan,Plantains,1991,69792,1668,153.16,12.0
Thailand,Sweet potatoes,1999,141695,1622,130.18,28.0
Bangladesh,Yams,2006,139414,2666,98.38,25.5
Spain,Maize,1991,50459,636,145.41,14.0
China,Plantains,2005,83401,645,98.24,8.5
Thailand,Soybeans,2009,34975,1622,98.73,28.0
Argentina,Yams,2010,153470,590,83.51,16.0
United Kingdom,Wheat,1990,34424,1220,157.18,9.5
Belgium,Wheat,1993,31353,847,150.14,10.5
Argentina,Maize,2009,57511,590,102.75,16.0
Argentina,Potatoes,2005,215766,590,110.1,16.0
Australia,Sorghum,1999,20466,534,130.24,21.65
Spain,Plantains,2002,71509,636,112.96,14.0
Albania,Plantains,1996,69340,1485,139.17,16.37
Pakistan,Sorghum,2007,13689,494,91.73,19.0
Turkey,Rice,1999,56508,574,132.16,11.1
France,Soybeans,2009,28600,867,101.66,12.5
Canada,Rice,2002,46118,537,107.07,-5.35
Canada,Plantains,2009,77951,537,83.22,-5.35
Canada,Sweet potatoes,2001,119504,537,115.86,-5.35
USA,Rice,1996,52534,715,129.68,8.5
Egypt,Wheat,2013,30733,51,85.52,22.5
Italy,Cassava,1992,119676,832,144.71,13.5
Belgium,Sweet potatoes,2005,146918,847,105.59,10.5
China,Sweet potatoes,1993,128320,645,144.64,8.5
Italy,Plantains,1994,59865,832,129.01,13.5
Turkey,Maize,2003,53968,574,115.14,11.1
Japan,Sorghum,1996,15513,1668,131.96,12.0
Brazil,Cassava,2005,156496,1761,97.05,25.0
Germany,Sweet potatoes,1996,126026,700,134.47,8.5
Canada,Potatoes,2012,184869,537,87.55,-5.35
Japan,Soybeans,2011,38545,1668,91.28,12.0
Vietnam,Plantains,2004,77112,1821,102.71,25.5
Indonesia,Sweet potatoes,1995,159950,2702,125.89,26.5
USA,Soybeans,2000,31841,715,118.82,8.5
USA,Yams,2006,142082,715,110.88,8.5
Belgium,Maize,2013,61089,847,76.19,10.5
Belgium,Soybeans,1991,28569,847,139.86,10.5
India,Wheat,2005,39031,1083,100.2,25.0
Albania,Maize,2005,55195,1485,107.15,16.37
Thailand,Cassava,1991,128954,1622,147.02,28.0
Argentina,Soybeans,2005,28356,590,101.73,16.0
Thailand,Wheat,1994,35986,1622,143.53,28.0
Belgium,Cassava,2008,143389,847,93.96,10.5
France,Maize,2000,49709,867,118.85,12.5
China,Soybeans,2005,29490,645,110.31,8.5
Netherlands,Plantains,2011,83947,850,94.79,9.5
Bangladesh,Rice,2004,70288,2666,115.2,25.5
Argentina,Wheat,2001,34978,590,121.95,16.0
France,Sorghum,2002,18039,867,119.6,12.5
France,Cassava,1999,136223,867,119.63,12.5
Egypt,Soybeans,1994,26906,51,130.42,22.5
Netherlands,Plantains,1994,77059,850,142.5,9.5
Netherlands,Plantains,1997,67107,850,138.95,9.5
Egypt,Potatoes,2010,187812,51,80.67,22.5
Austria,Maize,2012,63835,1110,80.49,6.35
Belgium,Rice,2010,52232,847,94.81,10.5
Germany,Plantains,1998,83347,700,122.09,8.5
Brazil,Sweet potatoes,1999,149362,1761,120.82,25.0
Austria,Sorghum,2003,18736,1110,118.6,6.35
USA,Yams,2010,132277,715,94.78,8.5
Australia,Plantains,2001,93518,534,121.32,21.65
United Kingdom,Sweet potatoes,2005,140599,1220,109.31,9.5
Mexico,Plantains,1997,80711,758,132.85,21.0
Pakistan,Maize,2002,40559,494,104.98,19.0
Netherlands,Plantains,2003,70191,850,107.26,9.5
Indonesia,Potatoes,2009,221373,2702,99.71,26.5
USA,Cassava,1992,109153,715,149.08,8.5
Turkey,Rice,1991,46918,574,138.8,11.1
United Kingdom,Plantains,2010,75681,1220,94.72,9.5
Pakistan,Maize,2006,48815,494,96.74,19.0
Pakistan,Maize,2009,58886,494,91.52,19.0
Albania,Maize,1998,56415,1485,122.08,16.37
Canada,Sweet potatoes,2004,150898,537,105.45,-5.35
India,Sweet potatoes,2001,144054,1083,107.35,25.0
